KVM3J24;RJ;FIAT;UNO VIVACE 1.0;2011;PRATA;      97
KVV3J24;RJ;VW;FOX 1.6 PLUS;2009;PRETA;      97
KVV3J34;SP;NISSAN;LIVINA 16SL;2009;CINZA;      97
KVN3J24;RJ;indefinida;;;;      97
KVN3J34;RJ;GM;VECTRA HATCH 4P GT;2009;CINZA;      97
KNV3J24;RJ;VW;GOL 1.0;2009;CINZA;      97
KNV3J34;RJ;PEUGEOT;207PASSION XR S;2009;Prata;      97
KNN3J24;MG;VW;GOL 1000;1996;PRATA;      97
KNN3J34;ES;VW;GOL I 1.6;1996;BRANCA;      97
KRV3J24;RJ;BMW;X1 S20I ACTIVEFLEX;2017;PRETA;      97
KRV3J34;RJ;JEEP;RENEGADE 1.8 AT;2017;BRANCA;      97
KRN3J24;RJ;RENAULT;DUSTER 16 D 4X2;2016;PRATA;      97
KRN3J34;RJ;AUDI;A3 LM 122CV I;2015;PRETA;      97
KYV3J24;RJ;HONDA;CG 125 FAN ES;2009;AZUL;      97
KVY3J24;RJ;PEUGEOT;408 ALLURE;2011;PRATA;      97
KYV3J34;RJ;HONDA;CITY LX FLEX;2009;PRETA;      97
KVY3J34;RJ;CHEVROLET;CRUZE LT NB;2011;PRETA;      97
KVV1J24;RJ;HONDA;CIVIC LXS FLEX;2007;PRETA;    93,1
KVV1J34;RJ;JTA;SUZUKI EN125 YES;2007;Prata;    93,1
KYN3J24;RJ;HONDA;CR-V EXL;2010;Preta;      97
KNY3J24;RJ;YAMAHA;FACTOR YBR125 E;2010;VERMELHA;      97
KYN3J34;SP;YAMAHA;FACTOR YBR125 E;2009;Roxa;      97
KNY3J34;RJ;VW;FOX 1.0 GII;2010;BRANCA;      97
KVN1J24;RJ;FIAT;UNO MILLE FIRE FLEX;2007;Prata;    93,1
KVN1J34;RJ;FORD;ECOSPORT XLT1.6FLEX;2007;PRATA;    93,1
KNV1J24;RJ;FORD;FIESTA SEDAN1.6FLEX;2009;PRETA;    93,1
KNV1J34;RJ;RENAULT;SANDERO AUT1016V;2009;VERMELHA;    93,1
KRY3J24;RJ;HONDA;XRE 300;2015;VERMELHA;      97
KRY3J34;RJ;HONDA;FIT EXL CVT;2016;PRATA;      97
KNN1J24;MG;FORD/DEL REY GL;DEL REY GL;null;Branca;    93,1
KNN1J34;MG;FIAT;UNO ELECTRONIC;1995;VERMELHA;    93,1
KRV1J24;MG;HONDA;CIVIC SPORT CVT;2016;PRATA;    93,1
KRV1J34;RJ;HONDA;NXR 160 BROS;2016;PRETA;    93,1
KYY3J24;RJ;VW;FOX 1.0 GII;2013;CINZA;      97
KYY3J34;RJ;VW;NOVO GOL 1.6;2013;Branca;      97
KMV3J24;RJ;FIAT;UNO MILLE SMART;2001;VERDE;      97
KWV3J24;RJ;GM;MERIVA MAXX;2010;PRATA;      97
KVM3J34;RJ;FIAT;PALIO FIRE ECONOMY;2011;PRATA;      97
KMV3J34;RJ;GM/CORSA WIND;CORSA WIND;null;Branca;      97
KWV3J34;RJ;M.BENZ;L 1620;2010;BRANCA;      97
KRN1J24;RJ;indefinida;;;;    93,1
KRN1J34;RJ;HONDA/FIT LX;FIT LX;;Cinza;    93,1
KYV1J24;RJ;VW;GOL 1.0;2008;Preta;    93,1
KYV1J34;RJ;indefinida;;;;    93,1
KVY1J24;ES;VW;FOX 1.0;2007;PRETA;    93,1
